address	name	status
1000eb56	CreateIndirect	pseudocode-emitted
1000eb5c	CreateIndirect	pseudocode-emitted
1000eb62	Create	pseudocode-emitted
1000eb68	GetRuntimeClass	pseudocode-emitted
1000eb6e	GetMessageMap	pseudocode-emitted
1000eb74	GetOccDialogInfo	pseudocode-emitted
1000eb7a	SetOccDialogInfo	pseudocode-emitted
1000eb80	CreateControlSite	pseudocode-emitted
1000eb86	CreateControlContainer	pseudocode-emitted
1000eb8c	OnFinalRelease	pseudocode-emitted
1000eb92	IsFrameWnd	pseudocode-emitted
1000eb98	CheckAutoCenter	pseudocode-emitted
1000eb9e	OnGesturePressAndTap	pseudocode-emitted
1000eba4	OnGestureTwoFingerTap	pseudocode-emitted
1000ebaa	OnGestureRotate	pseudocode-emitted
1000ebb0	OnGesturePan	pseudocode-emitted
1000ebb6	OnGestureZoom	pseudocode-emitted
1000ebbc	GetGestureStatus	pseudocode-emitted
1000ebc2	OnTouchInput	pseudocode-emitted
1000ebc8	OnTouchInputs	pseudocode-emitted
1000ebce	OnChildNotify	pseudocode-emitted
1000ebd4	PostNcDestroy	pseudocode-emitted
1000ebda	DefWindowProcA	pseudocode-emitted
1000ebe0	OnWndMsg	pseudocode-emitted
1000ebe6	WindowProc	pseudocode-emitted
1000ebec	OnAmbientProperty	pseudocode-emitted
1000ebf2	PreTranslateMessage	pseudocode-emitted
1000ebf8	GetSuperWndProcAddr	pseudocode-emitted
1000ebfe	OnNotify	pseudocode-emitted
1000ec04	OnCommand	pseudocode-emitted
1000ec0a	CreateAccessibleProxy	pseudocode-emitted
1000ec10	SetProxy	pseudocode-emitted
1000ec16	put_accValue	pseudocode-emitted
1000ec1c	put_accName	pseudocode-emitted
1000ec22	accDoDefaultAction	pseudocode-emitted
1000ec28	accHitTest	pseudocode-emitted
1000ec2e	accNavigate	pseudocode-emitted
1000ec34	accLocation	pseudocode-emitted
1000ec3a	accSelect	pseudocode-emitted
1000ec40	get_accDefaultAction	pseudocode-emitted
1000ec46	get_accSelection	pseudocode-emitted
1000ec4c	get_accFocus	pseudocode-emitted
1000ec52	get_accKeyboardShortcut	pseudocode-emitted
1000ec58	get_accHelpTopic	pseudocode-emitted
1000ec5e	get_accHelp	pseudocode-emitted
1000ec64	get_accState	pseudocode-emitted
1000ec6a	get_accRole	pseudocode-emitted
1000ec70	get_accDescription	pseudocode-emitted
1000ec76	get_accValue	pseudocode-emitted
1000ec7c	get_accName	pseudocode-emitted
1000ec82	get_accChild	pseudocode-emitted
1000ec88	get_accChildCount	pseudocode-emitted
1000ec8e	get_accParent	pseudocode-emitted
1000ec94	EnsureStdObj	pseudocode-emitted
1000ec9a	GetInterfaceMap	pseudocode-emitted
1000eca0	OnDrawIconicThumbnailOrLivePreview	pseudocode-emitted
1000eca6	EndModalLoop	pseudocode-emitted
1000ecac	ContinueModal	pseudocode-emitted
1000ecb2	WinHelpInternal	pseudocode-emitted
1000ecb8	HtmlHelpA	pseudocode-emitted
1000ecbe	WinHelpA	pseudocode-emitted
1000ecc4	GetScrollBarCtrl	pseudocode-emitted
1000ecca	OnToolHitTest	pseudocode-emitted
1000ecd0	SetMenu	pseudocode-emitted
1000ecd6	GetMenu	pseudocode-emitted
1000ecdc	CalcWindowRect	pseudocode-emitted
1000ece2	PreCreateWindow	pseudocode-emitted
1000ece8	DestroyWindow	pseudocode-emitted
1000ecee	CreateEx	pseudocode-emitted
1000ecf4	CreateEx	pseudocode-emitted
1000ecfa	Create	pseudocode-emitted
1000ed00	PreSubclassWindow	pseudocode-emitted
1000ed06	FUN_1000ed06	pseudocode-emitted
1000ed51	FUN_1000ed51	pseudocode-emitted
1000edfe	Catch@1000edfe	pseudocode-emitted
1000ee27	FUN_1000ee27	pseudocode-emitted
1000eee1	_RawDllMain@12	pseudocode-emitted
1000ef3f	_DllMain@12	pseudocode-emitted
1000ef7e	FUN_1000ef7e	pseudocode-emitted
1000ef9e	FUN_1000ef9e	pseudocode-emitted
1000efb0	FUN_1000efb0	pseudocode-emitted
1000efb9	__security_check_cookie	pseudocode-emitted
1000efc8	FID_conflict:`vector_deleting_destructor'	pseudocode-emitted
1000f014	__ArrayUnwind	pseudocode-emitted
1000f072	`eh_vector_destructor_iterator'	pseudocode-emitted
1000f0bd	FUN_1000f0bd	pseudocode-emitted
1000f0d5	__onexit	pseudocode-emitted
1000f16d	FUN_1000f16d	pseudocode-emitted
1000f176	_atexit	pseudocode-emitted
1000f1db	__CRT_INIT@12	pseudocode-emitted
1000f3e5	___DllMainCRTStartup	pseudocode-emitted
